id,year,month,title,series,thumbnail,writer,penciler,inker,letterer,description,grade,CGC
8708,1966,11,Fantastic Four Annual  #4,Fantastic Four Annual,http://i.annihil.us/u/prod/marvel/i/mg/1/70/5ad8947839444/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Joe Sinnott,Sam Rosen,"Johnny and Wyatt reunited with the Fantastic Four at long last! Lockjaw, teleporting dog to the Inhumans, hurtles through dimensions in this exciting annual issue! Johnny Storm vs. the original Human Torch! The Hulk vs. the Thing! The Fantastic Four's greatest moments collected here!",5,
7230,1966,12,Avengers  #35,Avengers,http://i.annihil.us/u/prod/marvel/i/mg/d/40/5862dcd94fb8f/portrait_uncanny.jpg,,,,,None,5.5,
11463,1966,12,Thor  #135,Thor,http://i.annihil.us/u/prod/marvel/i/mg/e/00/4f67633277219/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Vince Colletta,"Sam Rosen, Art Simek",The Man-Beast attacks! Thor and the New Men must neutralize the High Evolutionary's most misbegotten experiment. Featuring a surprise ending no True Believer will expect!,7,
8218,1966,12,Daredevil  #23,Daredevil,http://i.annihil.us/u/prod/marvel/i/mg/5/80/57221cfd312b1/portrait_uncanny.jpg,Stan Lee,Gene Colan,Frank Giacoia,Sam Rosen,"Daredevil takes on the three men morphed into the Tri-Man to secure the Masked Marauder's Maggia membership. That is, assuming the Marauder's men defeat Daredevil! Matt Murdock channels the boxing in his blood to take down Gladiator and Masked Marauder in one fell swoop!",3.5,
6860,1967,1,The Amazing Spider-Man  #44,The Amazing Spider-Man,http://i.annihil.us/u/prod/marvel/i/mg/8/c0/57aa29d100b7d/portrait_uncanny.jpg,Stan Lee,,John Romita Sr.,Sam Rosen,"Dr. Connors reacts from The Rhino antidote he was previously working on and turns into The Lizard. Realizing this, he runs away but is spotted by his son Billy. The Lizard plots his human conquest and plans to defeat Spider-Man.",4.5,
13264,1967,1,Fantastic Four  #58,Fantastic Four,http://i.annihil.us/u/prod/marvel/i/mg/3/30/5372d53e364b1/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Joe Sinnott,Art Simek,"After leeching the powers of Silver Surfer, a cosmically-endowed Doctor Doom takes on the FF! A shocking outcome to the team's most significant battle yet! Doom laughs in the face of defeat, and takes on the United States in his latest bid at world domination.",7,
11464,1967,1,Thor  #136,Thor,http://i.annihil.us/u/prod/marvel/i/mg/7/10/4f676389ebc50/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Vince Colletta,"Sam Rosen, Art Simek",Will Jane Foster pass the test of the gods? Odin allows Jane to accept the mantle of a goddess...but only if she can overcome the trials of Asgard. Lady Sif catches Thor's eye.,7,
11075,1967,1,Strange Tales  #152,Strange Tales,http://i.annihil.us/u/prod/marvel/i/mg/4/00/57bde38381467/portrait_uncanny.jpg,Stan Lee,Jack Kirby,"Bill Everett, Jim Steranko",Art Simek,"Into the Dimension of Death! Dr. Strange finds himself hurtling through the endless wastes of nowhere, on a fateful journey to the dark dimension beyond the furthest reach of mortal comprehension!",2,
11331,1967,1,Tales of Suspense  #85,Tales of Suspense,http://i.annihil.us/u/prod/marvel/i/mg/7/40/536d47e8853fc/portrait_uncanny.jpg,Stan Lee,"Gene Colan, Jack Kirby",Frank Giacoia,"Sam Rosen, Art Simek",A tale of dual duels! Tony Stark must save Happy Hogan from the Mandarin - by building a new suit of armor! And Cap locks horns with one of his most persistent foes - Batroc the Leaper!,3,
11434,1967,1,Tales to Astonish  #87,Tales to Astonish,http://i.annihil.us/u/prod/marvel/i/mg/9/c0/536d44bd58fa7/portrait_uncanny.jpg,Stan Lee,John Buscema,Mike Esposito,Art Simek,"The Hulk is so powerful, a villain must be created to destroy him. Thus brings the battle of Hulk vs. Hulk-Killer!",1,
13265,1967,2,Fantastic Four  #59,Fantastic Four,http://i.annihil.us/u/prod/marvel/i/mg/4/00/5372d4d47f791/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Joe Sinnott,Art Simek,"The Inhumans, free at last! Black Bolt shatters the barrier that has trapped the Inhumans in the Hidden Land. In New York, the Fantastic Four must play military strategist and world savior in the global battle against Doom!",7,
11465,1967,2,Thor  #137,Thor,http://i.annihil.us/u/prod/marvel/i/mg/7/00/4f676416c6fe3/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Vince Colletta,"Sam Rosen, Art Simek","Ulik's first appearance! When Lady Sif is captured by Geirrodur, King of the Trolls, Thor is lured into battle. But Thor isn't expecting as worthy a combatant as Ulik, the Rock Trolls' most powerful warrior!",7,
6864,1967,3,The Amazing Spider-Man  #46,The Amazing Spider-Man,http://i.annihil.us/u/prod/marvel/i/mg/e/a0/57aa2afa3d24d/portrait_uncanny.jpg,Stan Lee,,John Romita Sr.,Sam Rosen,Peter moves in with Harry and is confronted by The Shocker for the first time!,5.5,
13267,1967,3,Fantastic Four  #60,Fantastic Four,http://i.annihil.us/u/prod/marvel/i/mg/e/80/5ab122cda6c8a/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Joe Sinnott,Sam Rosen,"Doomsday for the Silver Surfer! Robbed of power and imprisoned in Latveria, the Surfer continues to be tortured by Doom's guards.  Will Galactus' herald plot his escape? The Inhumans start to construct their new home following the fall of Attilan!",7,
11466,1967,3,Thor  #138,Thor,http://i.annihil.us/u/prod/marvel/i/mg/e/03/4f67646402a69/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Vince Colletta,"Sam Rosen, Art Simek","One who is Unworthy steals the hammer of Thor! But will they be able to wield Mjolnir? Plus, behold the mystic might of the Orb of Orikal!",7,
8725,1973,10,Ghost Rider  #2,Ghost Rider,http://i.annihil.us/u/prod/marvel/i/mg/1/90/5cacb7de122ad/portrait_uncanny.jpg,Gary Friedrich,Jim Mooney,Syd Shores,Jean Simek,"Wrath of the Witch-Woman! The malicious mystic has sentenced Johnny Blaze's soul to damnation, and even his powers as Ghost Rider can't help him! Guest-starring Daimon Hellstrom!",0,
53508,1967,4,Fantasy Masterpieces  #8,Fantasy Masterpieces,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_uncanny.jpg,,,,,,3.5,
6865,1967,4,The Amazing Spider-Man  #47,The Amazing Spider-Man,http://i.annihil.us/u/prod/marvel/i/mg/1/c0/57aa2bf18faab/portrait_uncanny.jpg,Stan Lee,,John Romita Sr.,Sam Rosen,Kraven the Hunter hunts...Norman Osborn?  Can Spidey stop one enemy from destroying another?,5.5,
13268,1967,4,Fantastic Four  #61,Fantastic Four,http://i.annihil.us/u/prod/marvel/i/mg/3/60/5372d3c731c93/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Joe Sinnott,Sam Rosen,"Sandman's stalking the FF! And when Mister Fantastic falls into the Negative Zone, his teammates fear for the worst!",7,
11467,1967,4,Thor  #139,Thor,http://i.annihil.us/u/prod/marvel/i/mg/c/90/4f6764cd0cde4/portrait_uncanny.jpg,Stan Lee,Jack Kirby,Vince Colletta,"Sam Rosen, Art Simek","The Asgardian Troll War heats up, as Lady Sif leads Thor to Trollheim to do battle with Ulik and his ilk. Will Orikal be freed at least?",7,
6866,1967,5,The Amazing Spider-Man  #48,The Amazing Spider-Man,http://i.annihil.us/u/prod/marvel/i/mg/6/e0/57aa2c873c489/portrait_uncanny.jpg,Stan Lee,,John Romita Sr.,Sam Rosen,Spider-Man searches the city for a trace of Kraven the Hunter.,5.5,
